,tweets
67, osea en vez de ganar pierdo dinero que no es negocio esto porque no se llevan la menor parte en las cancelaciones dejan la mayor para que se pueda seguir trabajando tengo que esperar días para recibir el supuesto reembolso 
68,ehhh su servicio con los nuevos conductores es un asco gracias por su atención pero que feo
69,horita si me dan mis marditos cupones en uber eats después de que me fui de ecuador mmgvos 
70, no me quejo de la tarifa me quejo del servicio que no llegan al punto marcan que han llegado que me hacen esperar esperar cancelan
71,gracias por cumplir donde falla ayer no supo llegar mi casa no quieren hacer un reembolso 
72, ahí mismo en la app 
73, por qué la canceladera 
74, no pida tenga en cuenta algo melissa del precio qle sale usted para pagar se qda con el de comisión el resto la ganancia del conductor hagase ese ejercicio le aseguro que tendrá más empatía con los conductores 
75,dónde pongo una queja con 
76,se pasan de hp 
77, hasta quito ecuador nos lleva años luz en infraestructura hace muuuucho tiempo mucho más país que polombia 
78, tarifa de miseria no creo que los precios de uber sean de miseria si escojo uber es por seguridad 
79, aquí tienen caso para investigar ese carro que claramente indica las placas que están haciendo secuestro express también investiguen uber ya llevan tiempo con quejas denuncias algo pasa 
80,sumándole que desde septiembre no me da solución del hackeó que sufrí hace meses 
81, no usen este servicio tengo una emergencia no contesta nadie si seguimos usándolo van seguir cometiendo irregularidades por favor alguien tiene que pedirles explicaciones
82,llevo más de minutos esperando un uber no me sale ninguno 
83, por favor cómo puedo contactarlos por un hurto 
84, correcto 
85, te roban fácilmente sin saber quien es el conductor
86, es fácil amiga no pida pida y se dará cuenta que se van pelear por recogerla 
87, ya pues vaya en metro te gusta pagar miseria has de exigir ac
88, días sigue sin poder solucionar mi caso que inservibles son 
89, no se preocuoe que la vida se encarga de pasarle la factura 
90, gt gt 
91, gracias amiga si jode de nuevo te aviso ayer ya le dejé en visto azul luego de la jalada e orejas de burro 
92, no callar más 
93, cuéntame quien es el hijo de mal viento querida amiga compañera para reventarle ante el mundo 
94, es un miserable eso no se hace 
95, falta de unidades se cambian indriver por que pagan en efectivo además la comisión es más baja 
96, robarle una persona enferma ni siquiera digo amiga pariente basta esté pasando problemas de salud es lo más miserable se puede hacer así hay mucha gente usted tiene razón llegada la oportunidad robará de nuevo 
97, si 
98, que ser para miserable el tipo 
99,justos un pedido que demoró más del tiempo que uds prolongaron entonces yo debo esperar el tiempo que les de la gana aún así me cobran no me roben de forma tan fresca pésimo servicio al cliente bye hola 
100,les cuento que hay tanto desgraciado en la vida que cuando atravesaba ta operación cerebral un compañero militante que tantas veces le presté casa comida con amor respeto me robaba con carreras de mi que estaba atado mi tarjeta pensó que moriría hilo
101,cada vez hay menos en guayaquil ya demoran mucho tiempo
102,eran los mejores me están perdiendo terriblemente no me saldrán con que esos viajes no te cobran es el servicio ahora te preguntan la forma de pago 
103, en europa me parece que en algunas ciudades de usa ya hay programas piloto de eso con uber si no estoy mal pero en ecuador donde tienes que poner rejas en el baño para que no se lleven el papel higiénico esta como difícil 
104,incluso para que estos episodios se pueda denunciar como se debe hay que legalizar estas apps ecuador cada vez peor nadie da la cara por los taxistas honrados explotados clientes maltratados 
105, 
106, al pendeje que trató de hacerme fraude en mi tarjeta de crédito pagando uber eats con ella desde ecuador 
107, denuncialo en las app para que lo bloqueen permanentemente 
108, this made me lol amp feel defeated all at once we have family in the uber trumpian fl panhandle they re going to disney for xmas nothing can do about their choices so sit in cuenca ecuador in my safe cocoon fully vaxxed not yet boosted still masking and keeping 
109, pusiste la denuncia en en 
110, denuncialo la mi también en me quisieron robar en guayaquil lamentablemente acá no tiene oficina como el cual si sancionan ojo tomen correctivos con este tipo
111, está denunciado en 
113, sancionen reporten este sujeto defiendan los usuarios de este pésimo servicio 
114, como este tipo que no acepta carreras de tarjeta hay muchos sólo que además este no quiso cancelar su carrera prefirió darse vueltas en lugar de recogerme 
115,lo están haciendo bien gracias 
116,happening now la area gig drivers with mobile workers alliance are outside uber hub in central la taking part in self defense training to learn tactics to keep themselves safe on the job and are joining workers by zoom in argentina colombia ecuador and mexico 
117,hoy tome un se me quedo un objeto me contacte de inmediato sólo nunca escriben diciéndome ya están contactando al conductor que espere de horas por dios que les pasa
118,donde hay empleos generados estimados presidente voy buscando trabajo incalzablemente desde el cuando me robó mi trabajo actualmente trabajo incansablemente en desde el 
119,el multimillonario japonés yusaku maezawa reparte la primera entrega de uber eats en la eei tras pagar millones de dólares por viajar al espacio 
120, ratas a los conductores les roban aún más estos indignos ya fui víctima de estos ladrones 
121,nadie dirá nada acerca de las tarifas de todo el tiempo están con demanda alta no sean sapos 
122,al menos esta vez el repartidor de no se comió la comida por eso ni de chiste uso ese servicio 
123,definitivamente está vuelto loco 
124, señor presidente esto es lo que llaman 
125,tengan cuidado con este conductor de reporta pago incompleto la empresa cuando cobra el viaje en su totalidad se llama fernando alonso 
127,hasta cuando me tienen bloqueado siempre solicito ayuda me piden llenar formulario de viajes si no he podido realizar ninguno 
128, lamentablemente su app se sigue viendo envuelta en secuestros robos demás problemas es un asco la verdad que no hagan nada en siguen teniendo conductores que son cualquier cosa la verdad se debería hacer una campaña en contra de uber 
129,gracias un placer es servir para mí 
130,no se qué pasa con el servicio de en estos últimos días los conductores no llegan al punto me quedo esperando me terminan cancelando de paso me aplican una tarifa 
131, cómo participar en el pizza day pedidos directos nuestros locales uber eats pedidos ya recuerda que juntos hacemos más 
132,pero es esto hice un viaje de dos horas después me llega esto de se ajusta el precio cómo es posible quiero mi dinero se aprovechan porque uno paga en tarjeta 
133, sres después de estar esperando minutos me dice que está muy lejos me quieren hacer recarga deseo no me cobren me parece una estafa 
134, yo uso uber sin problemas este no fue un problema de la plataforma si no de la conductora que tomó caminos muy largos para llegar yo estaba de apuro el precio sí se disparó por la demanda pero es lo normal 
135, por eso yo uso en años que he utilizado la aplicación solo una vez me cobraron demás que nunca me devolvieron aparte de eso nunca he tenido estos problemas que tienen muchos usuarios de uber 
136,necesito que me den una respuesta ante este problema no es justo que me hayan debitado ese valor sin haber hecho un viaje ayuda 
138,quien entiende quiero recolectar un pedido pero en los restaurantes cerca no me dan esa opción en los que están lejos tampoco cada vez el servicio es peor 
139,las plataformas en son una completa porquería el servicio ha bajado de calidad en un no usaré más sus servicios
140, no sé para qué chucha existe uber en ecuador si ninguno de esos taxistas de verga cogen pedidos sólo los que le convienen la plena que vale verga esa puta app 
141, por qué no pueden recoger mi pedido en guayaquil ecuador no me permite realizar el pedido 
142, la gente debe entender que no se puede revisar el vehículo después de cada viaje porque muchas veces enseguida sale otro viaje otro pasajero pudo encontrar es responsabilidad de cada persona cuidar sus pertenecias 
143,terrible 
144, quién controla las tarifas en las últimas semanas se han incrementado exageradamente lis tiempos de espera son de hasta minutos mal 
145, mcdonalds uber cabify banco de guayaquil todos los bancos la lista es interminable en dolarizado es doble el daño
146, hoy hice una compra cancele en efectivo pero en la app dice que no he cancelado porque 
147,hoy más que nunca odié tanto me hicieron esperar en un lugar peligroso horas de la noche durante casi minutos para que el triple hp del conductor diga que se demorará minutos más luego me cancele la carrera viva la mierda 
148, hago un pedido llevo más de min esperando lo traigan ahora me sale en la app que yo lo vaya recoger al restaurante si cancelo me cobran igual la comida qué pasa para ir recogerlo iba lo compraba ya hasta me lo hubiese comido exijo mi dinero 
149, son mierda dos horas para un pedido 
151, ojalá se vayan todos que peligro de gente abusadores groseros racistas delincuentes mal educados si son de combo completo los venezolanos que han llegado ecuador a quitar trabajo los locales por eso ya no uso uber full venezolanos en esas motos los ecuatorianos 
152, solo reporta verás que si te devuelven menores cantidades me han devuelto por que siempre sale uno que otro sabido obvio calificale malo en la app mismo puedes hacer todo eso 
153, aún no pasan el desglose del recorrido que he pedido como veces 
154, dolaaaares no puede ser semejante webadaaaa 
155,hoy recibí el peor servicio de que vergüenza 
156, exacto justo eso iba mencionar activa el código pin para que no puedan iniciar el viaje mientras no les proporciones el código 
157, dígale eso un amigo que agarró un taxi le hicieron secuestro no todo es negativo en uber aquí por lo menos mis amistades familiares pueden ver la ruta que estoy haciendo en tiempo real 
158, me pasó lo mismo pero en el anuncio del precio decia promocion me bajé del uber le pague el precio promocion al ratito me llego la notificación del uber que el taxista se quejó que no le pague completo jajaja se a
159, tiene mucha razón estimado 
160, no gracias el taxista me quiere cobrar dólares del rc norte la ma las de la noche
161, lleva ahí más de minutos sin avanzar es una práctica que últimamente han hecho los conductores para forzar cancelar la carrera 
162, uber cada vez va peor ahora aceptan una tarifa al finalizar el chófer cambia los valores ya ni quejarte puedes desabihilitaron la opción de enviar correos por queja solo te dan ciertas opciones en ayuda según así que amiga da tu plata por perdida tristemente
163, horas nosotros estuvimos hora media uber nos cobró 
164, devuelvan
165, habiendo tanto taxi seguro afuera eligen una plataforma asta desacreditan al taxista por el uber ahora se quejan les roban eso es joder
166, mi me paso una vez hasta la fecha me devuelven 
167, lamentable el servicio de entrega de comida uber decidió compartir la entrega con el mismo motorizado la comida llega fría demorada la experiencia es pésima todo por ambición mal llamada optimización vergüenza de servicio
168,me encanta como puedes esperar hasta minutos por tu taxi cuando más cerca están te cancelan 
169, por cosas así puse para que no puedan iniciar la carrera sin antes pedirme el código
170,yo cada vez que uso uber me cobran veces la misma carrera mejoren sus servicios con los usuarios que usamos tarjetas para pagar las carreras 
171, manda un mensaje al soporte yo he pasado ese problema veces lo bueno es que si me han dan solución pero debes enviar un correo 
172,época de diciembre hasta uber te roba pedí un uber pero lastimosamente mi celular se apago nunca me embarque en la unidad sin embargo el chofer inició la carrera sin mi procedió finalizarla horas después las am del día siguiente pura maldad 
173, igual camino va en ecuador 
174,que pésimo se ha vuelto en ecuador me cancelan el viaje veces al centro comercial antes me preguntan donde voy canceló el viaje me cobran la compensación de viajes cancelados por los mismos conductores vaya aplicación me resultó mejor tomar un taxi 
175,la mejor opción es dejar de usar 
176, por si fuera poco las promociones mejores nunca me llegan me piden viajes por simples miserables 
177, quiero dejar de conducir con ustedes por que se llevan demasiada comisión muy baja mis ganancias además que siempre me descuentan de mis ganancia sin razón alguna los daños que los usuarios le hacen mi vehículo no me los reparan como me doy de baja
178, me pasó igual pagué por un pedido para que se lo coma el chofer 
179, mi me pasó algo similar además en ocasiones en meses me cancelaron el pedido diciendo que no estaba en el lugar cuando estuve afuera llamando todo el tiempo en soporte decían que no podían hacer nada tuve que borrar la aplicación la mejor opción es dejar usarla 
180,mucho cuidado con esta plataforma conozcan este caso 
181,fui víctima de robo por parte de estas son las respuestas atención que le brindan sus usuarios por reclamar lo justo qué me devuelvan mi dinero les invito usar otras apps a difundir para que demás usuarios no sean estafados 
182,señores el día de hoy quería hacer un envío través de su plataforma me debitaron dos veces de la cuenta la cantidad la aplicación se cerro no tuve el servicio necesito la devolución de esos valores 
183,cuál tiempo invertido si está con otra carrera 
184, buenas buenas señores de en ecuador les cuento que anoche tomé una unidad que me cobró la carrera pagué en efectivo esperaba pagar pero no me compliqué por los ctvs cuando iba pedir otra me sale que no le pagué alguien me puede resolver por favor 
185,pedí un ayer me llego un taxi amarillo algo anda mal re mal 
186, mejor utilizar siempre uber cabify mejores precios más seguros autos limpios hay como calificar los conductores tienen oficinas en ecuador 
187, copa américa en años la credibilidad de eso ya no se lo cree nadie la mitad de a vs bolivia ecuador además de solo anotar un gol en la dificilísima liga uber east 
188, favor atender controlar los abusos de 
189,por favor difundamos esta información todos los que usamos estas plataformas estamos expuestos este tipo de situaciones 
190, no pueden seguir pasando estas cosas no solo es este caso son varios no dan soluciones 
191, arregla tu pendejada de gps
192,y me tumbaron los de con su este tipo nunca me llegó con el pedido los de uber no responden mi email 
193, queeeee
194, ya me escribieron por interno 
195, respondan no permitamos que nos sigan robando 
196, este señor aceptó el viaje nunca se movió de ese lugar no respondió llamadas ni mensajes pero sí me debitaron el costo de la tarjeta de crédito el pago es por servicio no para que un vago acepte la carrera no aparezca 
197, lo que te mencionaba 
198, acabo de entrar su pag de reportes de la india reportando lo mismo siendo un problema tan grande tan claro no se como no lo pueden resolvee
