,tweets
1382, taxi concordia
1383, la multinacional just media group adquiere la startup ecuatoriana publifyer lanzan en ecuador una uber para mujeres donde las conductoras son mujeres de entra launch como preparar tu tienda en ig para las fiestas trabajos mas 
1384, una excelente opción 
1385, yo tb la uso ya hace varios años este problema se ha vuelto frecuente en los últimos meses
1386, tengo años usando la app un taxi jamás he tenido problemas es confiable conductores amables tarifa acorde 
1387, es verdad hace días me pasó que me aceptaron un viaje la conductora se desvió nunca llegó ese día salí de noche de mi trabajo me hizo perder tiempo ya se está haciendo costumbre generando un mal servicio 
1388, siiiiiiiiiiiiiiiiiiii esos son los más detestables 
1389, están los que llegan te dicen deme cancelando la carrera porque no quiero que me cobren la comisión te bajan del vehículo si les dices que no 
1390, usa fastline untaxi muy buen servicio 
1391, yo sí he tenido un par de inconvenientes con esa app en cambio justo hoy la persona que me hace de expreso no pudo recogerme por eso acudo uber
1392, desde el sáb estoy reportando que mi celular se quedó en el vehículo pci conductor juan daniel ya van más de horas en el que sólo recibo respuestas automatizadas el sábado me confirmaron por correo que el conductor lo tiene 
1393, por eso no cambio indrive practicamente no he tenido problemas en general con ellos pero con uber si en especial cuando es el tema con tarjeta varias veces me han hecho lo mismo 
1394,ya me tienen harta en serio estando nada de llegar sus conductores han cogido de costumbre cancelar por cualquier cosa hacen perder tiempo 
1395,srs porque sus unidades no todos preguntan si el pago es efectivo tarjeta típica pregunta para luego ellos cancelar la carrera el cliente tener demora en conseguir unidad por estos malos elementos 
1396, me dijeron el domingo que en horas me respondían vamos no tengo noticias acaso en ya normalizaron el robo de paquetes 
1397,su ayuda me sale como error de pago dos viajes cuando cancele los dos viajes 
1398,y no aplica iva digital pero taxi si 
1399,eso de pagar uber con tarjeta antes funcionaba hasta que apareció iva digital mil veces en efectivo lo mismo airnb 
1400, creo que te clonaron la tarjeta los manes hacen pagos través de otras apps cuentas que son ellos para llevarse la plata
1401, nada 
1402, ya es hora de hacer algo siempre hay cobros indebidos de esta aplicación un abrazo que tengas una solución lo más pronto posible
1403, es inaudito que tenga más de una hora esperando mi pedido llamo las minutos me dicen que yo he cancelado el pedido ahora que ha estado esperando minutos cuando nisiquiera han venido ni han llamado
1404,y entonces qué también 
1405, para mi no es relevante sin embargo me parece una falta de respeto botar la comida sobre todo dar ese trato aún cliente 
1406,ojalá no se caiga se me jode la chambeada
1407, hágalo por favor
1408, el truco es que en método de pago pongas efectivo si usas tarjeta no te aceptan
1409, que infelices
1410, terrible urge que controlen estas empresas 
1411, lastimosamente no es responsabilidad de uber alguien debió extraer los datos de la tarjeta usarlo en su cuenta es lamentable que este es un problema común hoy en día en ecuador ojalá el banco te dé una solución 
1412, si mi vida me vaciaron la cuenta desde la app no dentro de una unidad gracias por preguntar 
1413,salvo por el robo indiscriminado de del que exijo me devuelvan el dinero el lunes ha empezado bastante bien 
1414, hermana espero te encuentres bien 
1415, hace unas semanas atrás me hicieron lo mismo con un supuesto viaje por el monto no realicé ningún reclamo la semana pasada volvió pasar lo mismo tuve que bloquear la tarjeta independientemente de los montos qué seguridad nos pueden brindar estas aplicaciones
1416,me acaban de asaltar mano armada través de se han hecho consumos en mi tarjeta que no he realizado he hecho el reclamo respectivo sigo sin respuesta 
1417,pedir ahora es una odisea no hay conductores los que te salen te demoran la vida eso súmale que te descarga la batería en un santiamén 
1418, es la peor porquería que existe estoy demostrando me comuniqué con el repartidor no tuve respuesta sin embargo no me dan solución pretenden entregar un pedido fuera de la puerta de ingreso exijo mi reembolso 
1419, será que responden 
1420, me pasó con un pedido de comida me terminó echando la culpa mi nunca más los usé 
1422,esta es la segunda vez que me roba un ítem que envío es inaceptable que está compañía opere en ecuador sin razón social domicilio forma alguna de contacto posibilidad de fiscalización si alguien tiene esta información les agradezco 
1423, que sucede con los repartidores dejo la comida le pago se va coloca eso en el app ahora que deseo pedir algo más me salta un cargo por algo que pague 
1424, mí acabaron de cobrarme una carrera la que el conductor nunca llegó recogerme 
1425,su servicio los últimos días ha estado más allá de lo pésimo más de minutos esperando me asignen un chofer para hacer el recargo las tarjetas si son violentos 
1426, no solo que no dan respuesta sino que cada intento dicen petición resuelta cuando ni si quiera se han comunicado no solo andan subiendo precios sino que parece que ya no les importa la seguridad será de irse cambiando otras apps 
1427,el viernes en me robaron un paquete he pedido ayuda por la app por este medio me cierran la atención diciendo que ha sido solucionado jamás lo fue uber se ha vuelto sumamente peligroso 
1428,que iras falta de respeto por parte de al no llegar mi sector por suerte existe 
1429, confirmo varias veces me ha ocurrido lo mismo con debería poder calificarse los conductores que cancelan carreras también no solo las carreras realizadas 
1430,ballon eibar ballon uber all in one here mr debut eibar bolivia ecuador man lord messi 
1431,los conductores de uber últimamente aceptan la carrera cuando recién están terminando otra se demoran entre minutos 
1432, si les pagas en efectivo no te ponen el valor completo para que se te cargue la siguiente carrera
1433,así como cobran tarifa si un pasajero cancela un viaje deberían pagarnos cuando ya estando cerca nos cancelan el viaje 
1434, son una cada unidad debería tener una caja diaria con la que arranquen el día no es posible que nos hagan perder el tiempo de esa manera me ha pasado en varias ocasiones 
1435,octubre del con sus conductores cancelan porque no se les cancela en efectivo en serio que veces da coraje su servicio 
1436, buen día les escribo desde ecuador en mi viaje cartagena use un uber el cual no cerró la carrera me puso como que no le pagué cosa que no fue así pagué pesos colombianos les escribí su aplicación no me ayudan me siguen adeudando ese valor s
1437, ya tenemos suficiente miserableza con como para tener otra explotadora de autos acá
1438, hoy hize un pedido por uber eats las de la noche del dia de hoy de septiembre el repartidor nunca llego al local por lo tanto el lugar donde hize el pedido no lo recibió se me cancelo de la nada se me debito de mi tarjeta 
1439, mi me paso lo mismo hoy hize un pedido se cancelo de la nada practicamente me robaron
1440, hola me paso algo parecido pedi por uber eats en la cuidad de machala en ecuador el pedido nunca llego si se lo cobro el local no tiene registro del pedido como si solo haya pedido lo hayan cancelado pido reembolso del dinero que ya fue cobrado
1441, la peor app que puede existir más de una hora esperando pedí cancelar no quisieron hacerlo porq según ellos estaba en el tiempo comida fría mal servicio al cliente asesores de la parada te cierran el chat sin haber terminado uber ecuador es lo peor
1442,así como nos mete un recargo por cancelar carreras les ponen alguna multa los conductores cuando después de esperar minutos te cancelan de la nada estando cuadra 
1443, pague un valor en mi última carrera se retira el taxi me notifican un cargo incorrecto como pendiente por favor atender 
1445, los odio hpta
1446, tuve un problema con uber flash jamás llegó mi pedido al lugar indicado pese que fue recogido nunca me respondieron en servicio al cliente 
1447, ya te paso dos números de taxis conocidos
1448,que sucede con en guayaquil se están demorando una eternidad
1449,voy días esperando que responda cómo me van devolver el dinero que me robaron de la tarjeta de crédito hice todos los pasos que me pidieron hacer hasta ahí llegó la cosa respondan 
1451, para debitar tienen todos los datos para devolver no eso es ser tramposo chueco sabido que se queden con el dinero malhabido eso es en ecuador 
1452, espero se tome en cuenta mi reclamo el viaje fue cancelado un minuto de llegar 
1453,soy fiel cliente de hoy mientras solicitaba un vehículo tenía problemas con la conexión se canceló el viaje dos veces con el mismo conductor la tercera vez el conductor me pregunta porq le cancele en la imagen mi respuesta los usuarios merecemos respeto 
1454, lo mismo me pasó con uber por eso eliminé esa app 
1455, la inseguridad ha consumido hasta el uso de aplicaciones que mano armando le roban sus usuarios hablo de que hace un poco más de semanas me cobró un producto que nunca me llegó hoy dicen que no pueden hacer nada 
1456, well yeah of course not americans are the same way lot of americans are dumb when it comes to the rest of the world they don care about poland ecuador turkey eritrea korea japan or afghanistan they don care at all but they should
1457, me hicieron un doble cobro por una carrera qué hago para que me reembolsen el dinero 
1458, llevo un mes esperando un reembolso por parte de ustedes pero no he obtenido respuesta parece que tendré que tomar otras medidas 
1459,contactarse con es imposible entonces como poner una queja hacer un reclamo que no sean las opciones absurdas predeterminadas 
1460, es una porquería no brindan nada de seguridad pido un auto me deja esperando minuto después la aplicación registra que me recogió me llevó cierto el pago es con tarjeta así es que ya se cobraron una carrera que jamás hice 
1461,asumo que ahora en vienen los carros transformers tienen gabarra contratada 
1462,uber debería quitar la opción de confirmar viaje si ya están viajando con alguien un uber me acepto tuve que esperar minutos porque ya estaba terminando un viaje para colmo quise cancelar me iba cobrar 
1463, me parece que si debo esperar minutos por el uber pasan sin que se haya movido de donde estaba no deberían cobrarme por la cancelación ya que el conductor no ha esperado la que esperó fui yo para nada 
1464, brb im booking an uber to ecuador
1465, qué van hacer al respecto cómo es posible que sin tener cuenta en su aplicación hayan recargos 
1466, uhmm pero amigo almenos hablo por lo ya que yo antes de uber solo usaba taxi amarillo tal las tarifas son iguales incluso en uber las tarifas suben en horas pico la mayoría de usuarios de lo usamos por la seguridad que dan sus clientes
1467,uber eats usa also works in el salvador panama ecuador amp puerto rico 
1468, en uk uber no funciona con vehículos particulares de hecho está demandado por vender información de sus usuarios en ecuador perú se puede transporte gente hasta en un triciclo no hay regulación para nada el modelo brasileño sí lo desconozco 
1469, tengo un cargo no autorizado en mi tarjeta no veo movimientos en mi cuenta de uber realmente nuestras tarjetas están protegidas 
1470, mi cuenta fue clonada desde egipto por favor trato de contactar soporte ecuador pero es sistema es malo aparte que es fin de semana no atienden en las oficinas el sábado al medio día no pude acceder mi cuenta recibo mensajes de mal uso sin poder responder
1471, me refiero al conductor porque uber se lleva en algunos casos el del viaje en especial cuando es con tarjeta por ejemplo hay carreras que le toca al conductor menos yo de usuario soy feliz porque una carrera en taxi convencional que me cobran en uber pago 
1472, hablas de las tarifas usuarios tarifas al conductor 
1473, últimamente 
1474, nadie quiere trabajar con uber por los bajos precios que se cobra los usuarios en años no han subido las tarifas todos migraron indriver que más que sea pagan basura pero en efectivo no en tarjeta como uber
1475, que está pasando con el nivel de conductores antes en min ya estaban aquí ahora están todos minutos 
1476, así pasa el tiempo jamás recibí el porque de ese cobro mi tarjeta de crédito me quedé esperando su respuesta pero la solución es simple no mas para nada
1477,la tecnología cambia el mundo taxis uber hostales airbnb agencia de viajes despegar charles darwin decía los que sobreviven no son los más fuertes rápidos ni inteligentes sino los que se adaptan al cambio qué piensan 
1478, hola ayer realicé un viaje pague en efectivo al conductor el monto total del viaje el registro en la aplicación que solo pague la mitad me están cobrando por favor necesito su ayuda con mi caso no puede ser que los conductores sean así de deshonestos 
1479, no porque hay alternativas para hombres en ecuador hay de distintas para hombres mujeres uber cabify indriver aloapp etc
1480, cuantos meses más debo esperar para que se contacten conmigo o me devuelvan los fondos retenidos por un pedido del de agosto 
1481, esta hagas un hilo amigo
1482,ya encontramos la maleta pidiendo ayuda los de naranjas
1483, de una por dm
1484, pila borracho mi cuñado es taxi amarillo seguro confiable confirma para pasarte el contacto
1485, pida taxi pague despues
1486, terrible lo de esta app 
1487, me hice otra cta para ver si es algún pito con la mía sigue sin aceptar carreras con tarjeta que odio
1488, ya valió pinga no tienen ni carros si pides con tarjeta te cierran la carrera sin contar que se demoran más de minutos en llegar 
1489,que odio con ninguna tarjeta agarra 
1490, pagué un viaje en efectivo hoy el conductor no lo marcó como cancelado no puedo solicitar un reembolso significa qe ya perdí dinero con ustedes 
1491, ojalá uber no te bloquee pues es lo que hizo cuando denunciamos uno de sus malos elementos 
1492,buenos días necesito su ayuda mi hijo tomó ayer un uber de este señor se fue arrancando apenas lo dejo en su destino sin darle la oportunidad de sacar una maleta del baúl 
1493, que iras lo peor es que ni siquiera puedo reclamar ni nada no nos estafen 
1494, me pasó lo mismo debía de un viaje que no pude pagar hace un año metí la tarjeta pagué eso hace poco enseguida me salió que debo más imposible porque no uso la app hace casi dos años además no te dejan pedir un viaje si es que debes un viaje anterior 
1495,queridos terrible que quieran cobrar de viajes que nunca hice hace más de un año que no uso la aplicación ahora que necesitaba me sale que debo desde el anterior año no es la primera vez qué pasa
1496, es tipico en ellos lo malo de es que aveces llegan unos carros viejitos aunque tratan de darte la mejor atención pero en ya han sido varias veces que le cargan la carrera uno aveces uno piensa que es seguro pero no
1497, no usaba indrive porque no me parecía seguro ahora creo que si debo pero qué viveza la que usan ahora los choferes del uber yo hasta código les aplico para verificar porque ya me han pasado por el punto haciendo que me recogen me cobra la carrera 
1498, los chóferes no finalizan la carrera les pagas ellos usando la ley del mas vivo nos aplican la próxima carrera yo uso cuando debo sanciinar un conductor lo hacen sabes cuanto es el castigo años
1499,adjunto más si el problema es el precio los conductores no deben desquitarse con los pasajeros porque nadie los pone solo la app 
1501, buenas tardes estos twt envié otra cuenta aquí resumo las molestias que me ha usado el chófer washington geovanny el sept razón por la calificación no voy pagar esa diferencia 
1502,reviso mi tc encuentro lo que significa usar carrera iva digital servicio pagos terceros iva costo servicio terrible ahora si creo que los taxis amarillos son la mejor opción para el pueblo pactas pagas punto 
1503, necesito me solicionen el cobro indebido en una ruta que no solicite el chofer no finalizo la carrera en el lugar indicado no pueden permitir que sus socios se dediquen este tipo de prácticas 
1504, hola solo uso la aplicación para trabajar puede escribirle la cuenta de uber en ecuador es esta 
1505, el día lunes de septiembre las y tomamos un uber desde república del salvador suecia en quito ecuador hasta yoo cumbayá se quedaron en una cartera negra todos los documentos dé mí esposo hasta el día de hoy no tengo respuesta 
1506, el día martes las y tomamos un uber desde república del salvador suecia con destino cumbayá yoo se quedó una cartera negra con todos los documentos dé mí esposo hasta el día de hoy no tenemos respuesta su ayuda por favor 
1507, llevo esperando casi horas por una pizza horas 
1508, tengo una queja contra uber comencé usar su servicio de taxis al do día ya comenzaron los problemas con descuentos supuestamente temporales doble cobros por servicios no prestados tengo más de mes esperando reembolso
1509, me han hecho esperar minutos cuando le indicó que pagó con tarjeta me cancelan si existen conductores que solo desean carreras en efectivo deben identificarlos así el usuario no pierde el tiempo 
1510,la carrera la aceptó se demoraba minutos así que decidí esperar todavía no llegaba encima cogio otra ruta pasándose de mi ubicación como siempre asco de servicio hacen es perder el tiempo 
1511, buen día necesito ayuda con este socio conductor ya solicite una carrera ayer hice el pago en efectivo no me cancelo en la aplicacion necesito pedir mas viajes desde la ciudad de guayaquil gracias de ante mano 
1512, mi me pasó lo mismo este fin de semana 
1513, ya llevo un mes con un reclamo por retención de fondos hasta el sol de hoy recibo respuesta sobre ello será posible que se dignen contactarme resolver el problema 
1514, mí se me robaron un celular pesar de que di todos los datos correspondientes
1515,en quito llueve colapsa todo incluyendo las apps de taxis 
1516,necesito que me ayuden por favor me acaban de hackear mi cuenta me llegan al correo tarifas de carreras en egipto utilizando mi tarjeta de débito por más de dólares 
1517, la fecha uber uruguay brasil ecuador reprechaje 
1518, buenos días necesitamos contactarnos directamente qué correo enviamos el reclamo por cobros de productos que no hemos comprado
1519,wome una app de mujeres conductoras para mujeres que hermosa iniciativa justo ahora que está cada vez más inseguro el ig 
1520, de los peores su 
1521, han pasado días siguen sin devolverme el monto que me debitaron por error 
1522, yo también tuve un problema de hackeo de cuenta través de un conductor uber nada que me responden 
1523,a la comunidad 
1524,sigo esperando que se digne en responder mi solicitud de objetos perdidos parte de que son un mal servicio no tienen redes ni un servicio al cliente que funcione 
1525, día lunes sept 
1526, como fue
1527, podrías explicar por qué dices que él te hackeo 
1528, my uber account was hacked customer service from ecuador does not give me solution please help me
1529, muchas gracias por el dato
1530, no reembolsan 
1531, hola bloquea la tarjeta entra en los registros de actividad de google para saber el ip desde el que están entrando tu cuenta así mostrarle al banco que no fueron consumos autorizados los bancos veces no reembolsado cuando no hay suficientes pruebas
1532, revisen señores carreras cercanas de dolares las cifras están locos
1533, que sucede que se están disparando en el precio de las carreras 
1534,este desgraciando me acaba de hackear mi cuenta de uber me han hecho consumos en egipto estoy escribiendo qué dudo mucho que me den solución así que pilas estén atent para que no les pase lo mismo 
1535,estoy siendo estafada por un conductor de me debitaron dineros de mis cuentas
1536, saludos mijo
1537,para variar queriendo ver la cara me quieren cobrar un pedido que jamas llego lo peor de todo es que son tan mentirosos que dicen el repartidor estuvo esperando afuera tarados es ciudadela privada te llaman cuando están afuera
1538,vuelva treparse al auto en su lugar el carro aceleró llevando ciertas pertenencias de él incluyendo un traje que acababa de retirar por favor existe alguna forma de sancionar dicho conductor 
1539, my uber account was hacked customer service from ecuador does not give me solution 
1540, tengo semanas que mi cuenta ha sido hackeada me intento comunicar con ustedes nadie me da una respuesta quiero solución 
1541, hay alguna forma de proteger los usuarios de estos estafadores 
1542, un hijo de puta canceló el viaje metros antes de llegar bloqueen ese imbécil 
1543, que pena que un servicio bastante bueno ahora deje entrar personas que se quieren pasar de listas cuando se paga con tarjeta diga que se refleja el pago en efectivo al dejar en claro la situación cancelen el viaje 
1544, que esta pasando con las comisiones que están cobrando los socios conductores es demasiado cuando solo cobraban el 
1545, mi me ha pasado cuando pago con c me cancelan hasta unidades 
1546, sres gerentes directivos representantes de uber ecuador tienen la palabra cuál es su respuesta ante casos como el descrito que medidas de seguridad ofrecen sus clientes 
1547,el er conductor que me cancela por tener créditos uber 
1548, esto ocurrió hace unos minutos conductor que acepta el viaje me pregunta cuál será mi método de pago al decirle que es con tarjeta cancela el viaje trato de reportar en la app no hay el registro 
1549,lo más insólito es que el propio admitió que ellos tampoco lograban localizarlo nos pidió que esperáramos hrs más ver si él se ponía en contacto lo cual por supuesto tampoco pasó 
1550,pero resulta que esto cada vez se vuelve más engorroso hace dos semanas tomé una carrera de junto una amiga quien pidió el taxi lamentablemente extravié mi teléfono 
1551, no se contactan no resuelven me debitaron dos veces más de que estoy esperando que me devuelvan 
1552, sigo esperando alguna respuesta del robo que me hizo uber eats me debitaron dos veces hasta el día de hoy me devuelven me dan respuesta dijeron que se comunicarían conmigo por medio de un email nada 
1553,los conductores no deberían tener permitido preguntar si cancelan deberia haber una fuerte multa 
1554,hasta cuándo 
1555, vanegas mr alitas de pollo no queda mas que comprar acciones en uber eats quito ecuador 
1556,sigo esperando una respuesta necesito que me den una respuesta me cobraron veces no se si clasificar su negligencia como estafa robo 
1557, necesito que me den una respuesta me cobraron veces no se si clasificar su negligencia como estafa robo 
1558, responden tweets pero no veo que responden por la negligencia que cometieron al debitar de mi cuenta veces el valor 
1559,hola soy de ecuador hoy hice un pedido me debitaron veces el valor de mi tarjeta de crédito estoy escribiendo por todos los medios no obtengo ninguna respuesta 
1560, hola soy de ecuador hoy hice un pedido me debitaron veces el valor de mi tarjeta de crédito estoy escribiendo por todos los medios no obtengo ninguna respuesta 
1561,detesto 
1562, mensaje y nadie dice nada desde ayer los cobros excesivos se han vuelto costumbre nadie contesta ayuda 
1563, lo mismo me pasó en un local de gye me dijeron que pase ver una cortesía si lo pedí domicilio es porque no tengo tiempo de ir pararme en la fila que pendejos
1564, además de que te debitan antes de iniciar la carrera no existe ningún tipo de compensación de cuando los carros nos cancelan me ha pasado varias veces que ya han pasado como minutos de aceptar la carrera me la cancelan solo porque es con tarjeta
1565, bueno en mi caso puntual siempre pago más de por ride a diario el mejorar el pago de la plataforma hacia los conductores es un tema directamente que le compete es un poco incomodo tener un conductor quejándose todo el tiempo 
1566, sobre las aplicaciones digitales uber cabify indriver cuál es la nueva ley
1567, la verdad hay que entenderlo veces paraxen nos regalan las carreras deberían tener una tarifa mínima nosotros pagarles mejor cuando las carreras son muy bajas porque la gasolina está subiendo mes mes hay aprender ser más empático 
1568,a alguien más le pasa desde que se suben al el conductor comienza quejarse acerca del pésimo pago así la tarifa del usuario este por los cielos por motivos como estos hay escuchar un monólogo lamentándose sin ac 
1569, escuché que es al frente del mall del sol 
1570, si los tiempos de espera son muy altos siempre salen conductores están muy lejos casi siempre hay esperar entre minutos 
1571, mi también me cancelaron uber en menos de minutos lo peor es que te hacen el cobro antes de que te den el servicio 
1572,me pasó esta vaina todo el fds no se que está pasando pero es muy molesto 
1573, por favor rt quienes lean que clase de medias de seguridad tiene esta app servicio al cliente quien pide mas de mil dolares en una app de delivery comida obviamente hay un robo fraude una empresa que se lava las manos 
1574, fui victima de un robo en el cual los ladrones accedieron mi celular realizaron consumos en por un total de llevo semanas de reclamos solo responde vez no contestan mas el peor servicio 
1575,apps que funcionan bastante bien en otros lados no lo logran en ecuador pésimo servicio 
1576, que pésimo servicio que dan pedí unidades ninguna pudo llegar al lugar indicado
1577, les tocará cumplir leyes reglamentos los de uber mayor cantidad de aportaciones demás ahí termina el tema de uber en ecuador 
1578, pésimo servicio 
1579, pésimo servicio llevo casi min intentando que una unidad llegue mi punto porque ya van unidades que aceptan luego cancelan pocos minutos deberían ponerles una sanción los conductores que cancelen ultimo minuto hacen perder el tiempo del usuario 
1580, ya les he detallado mi reclamo por interno eh aprendido que cuando pido kfc delante del que trae el servicio abro constato lo que envían así que el repartidor de es testigo de mi reclamo
1581, acá en méxico también hace lo mismo hay más opciones ya me regreso al taxi tradicional cada vez van de mal en peor 
1582,es terrible la experiencia de que te cancele el to uber porque usas tarjeta no efectivo hay penalización por hacerle esto al cliente porque cuando nosotros cancelamos hay fee 
1583,uber eats experimenta un crecimiento exponencial en rd uber eats es la app de pedidos número en república dominicana puerto rico ecuador costa rica méxico chile uber eats sigue su patrón de evolución benef 
1584,así andan en puros delincuentes en motos vehículos robando 
1585,one thing that hate about mexico is the amount of adds get compared to ecuador like daam uber eats every hour 
1586, aun espero la repuesta de la solución de mi caso donde un chófer recibió el valor en efectivo notificó que el pago no habia sido realizado 
1587, hola wladdy lamentamos el malestar ocasionado por favor por interno coméntanos detalle sobre lo sucedido que local atendió tu pedido tu nombre número de teléfono para que un representante de la marca se ponga en contacto contigo tome los correctivos correspondientes 
1588,uber cobra de manera exagerada la comisión por el uso de su plataforma los conductores en ecuador encima que las carreras son baratas ellos se cogen un porcentaje alto si eso le sumamos el costo del combustible la verdad no es rentable ya 
1589, muchos de mis conocidos les ha salido esto ahora mí aún pesar de siempre cancelar todo en efectivo porque me sale esto del monto no liquidado 
1590, no canceles deja que lo hagan ellos porque ellos si pueden hacerlo simplemente no lo hacen por eso mismo porque si lo hacen les cobran ellos
1591,ya me había confirmado que venía en camino pero se dio cuenta que iba pagar con tarjeta decidió no irme recoger yo tuve que cancelar la carrera uds me cobran el fee cuando deberían cobrarle al conductor siempre es lo mismo 
1592, porfavor necesito ayuda urgente 
1593, nuevamente uno hace un pedido por los señores de kfc envían lo que ellos les da la gana si no tienen el producto informen no envíen lo que uno no pidió kfc es mejor no comprar en servicio domicilio
1594,y en un nuevo capítulo de hago lo que me da la gana el cliente que se joda hice un pedido por pues resulta que de los platos que pedí uno vino totalmente mal cual creen que fue la brillante solución que me dieron en soporte pues que debo aceptar
1595,al parecer encima de mal educados tampoco leen sobre el covid lo peligroso que es estar en espacios cerrados sin ventilación que lastima que sus conductores sean unos desubicados que no cuiden la salud de quienes usan la aplicación 
1596,a la semana si quiera pido entre ubers por diversas razones ahora último cada vez que me subo tengo que recordarles los conductores que se pongan la mascarilla 
1597, no puedo realizar pedidos desde mi cuenta eats eso viene desde ayer que mal 
1598, si se están dando cuenta hijos de puta que se están quedando sin unidades aquí en ecuador por qué su tarifa vale verga ladrones hijos de puta km de recorrido pagas al conductor dólares al usuario le cobras dólares 
1599, por favor si saben que cada de cada mes sube la gasolina pero ustedes no suben las tarifas hasta cuando tenemos que esperar 
1600,qué raro que el conductor pida el número de teléfono que tengo registrado en la cuenta me mande códigos que luego me pida tanto cel como por correo electrónico me querían hackear 
1601,saben lo que más me molesta de tener el carro dañado no no es gastarme la mitad de mi sueldo en arreglarlo me jode me arrecha tener que usar uber que me cancelen las putas carreras por usar crédito es dinero al final del día mmvs 
1602, los salarios bajos en el ecuador son por que hay una mínima tasa de capitalización más inversiones flexibilidad laboral el trabajo abunda por lo tanto suben las ofertas pagando más yo trabajo en uber hay tanto trabajo en la ciudad de ny que cada semana da bonos la empr 
1603,acá les dejo éste cupón código de descuento alatiendv para rappi ecuador quito guayaquil lo agregan tienen dólares en envíos gratis para comprar en rappi cupones promociones para pedidos de comida medicinas lo sea pueden ver en ésta compra de dólares uber 
1604, pues al parecer de lo que indagado hay gente dedicada robar cuentas de chóferes verificados con el mismo método de pedir claves de sms similar para luego robar cuentas de ubereats clientes de uber
1605, no entiendo
1606, buenas tardes pedí un uber llegaba minutos ya faltando minutos para llegar me cancela no me me mandan otro uber encima me cobraron 
1607, señores realice un pedidor gye el pedido no llego sin embargo me cobraron el pedido llamo los números indican que no existen contestar por favor 
1608,señores hagan al favor de revisar la app he tenido carros fantasma que aceptan la ruta en el mapa salen en el punto de partida en realidad no están ahí ya me ha pasado veces en una semana 
1609, cobrando más de lo que debe hice un pedido ayer la app me informa que tengo un descuento me refleja el valor con descuento al momento de pagar la sorpresa se cobraron la totalidad sin descuento es un abuso de una estafa aparte el candado no 
1610, en ecuador se aplicaría tercera dosis de vacunas desde enero del lasso busca acuerdos de libre comercio con primeras economías del mundo justicia francesa ordena uber pagar mil taxistas por competencia desleal con la 
1611,ultimamente me han tocado unos taxistas de bien lamparas malhumorados carros sin c oliendo gasolina
1612,llegó el recibo por lo que pague en efectivo al repartidor de lo que me cobraron por la tarjeta de crédito cuando llega ese recibo como lo justifican 
1613, no comprendo porque la aplicación me da un precio el cual pago en efectivo pero resulta que también me cobraron un valor en la tarjeta de crédito acaso no esun robo dar un valor cobrar otro valor que hasta ahora no me justifican el porque 
1614, en serio consideran que esa es la hora de que llegue una notificación dejen dormir al prójimo 
1615, me ha cobrado por una carrera de ya que su conductor no cerró la carrera me iban devolver lo cobrado van dias nada 
1616,llevo dos días esperando respuesta de mi denuncia por favor indicarme donde me puedo acercar en ecuador guayaquil denunciar al conductor que me pidió los códigos con los que luego se hackeo mi cuenta hay daños económicos 
1617, hola deseo realizar un pedido pagar en efectivo no puedo quisiera que me ayuden activando esta opción soy de machala ecuador
1618, tengo media hora esperando un ride me han cobrado veces nada que hago vale verga tu servicio
1619, por favor actualmente en guayaquil existe una modalidad de fraude robo través de plataforma dónde se puede denunciar 
1621, por favor dirección de las oficinas en guayaquil necesito hacer una denuncia urgente de un conductor
1622, me ha pasado lo mismo me han hackeado mi cuenta donde se puede poner la denuncia nadie me da solución
1623,aviones de presidencia del ecuador haciendo uber no que luchaban contra el desfilfarro no que los recursos del estado son sagrados se les cayó el discurso estos gobiernos de ultraderecha llegan abusar de los recursos del estado 
1624,me podrían ayudar con la ubicación de las oficinas de uber aquí en guayaquil estoy confundido me han dicho por el mall del sol también por el san marino necesito la dirección correcta 
1625,tengo un problema con ecuador dónde puedo llamar la app se volvió loca 
1627,no es la primera vez que me cobra dos veces por culpa de taxistas que aceptan carrera luego las cancelan hasta cuando 
1628,señores de que diablos les pasa su conductor me robo en ningún momento esperó más de minuto para la carrera no pasó ningún peaje para que una carrera de dólares me la cobre por que diablos pasa tienen conductores fraudulentos ladrones 
1629, nobios
1630,quiero denunciar este uber porque es un ladrón me robó el corazón 
1631, necesito comunicarme con alguien de sus asesores respecto una queja por favor gracias 
1632, date un gusto usa mi código para nuevos usuarios de uber eats recibe un descuento de para tu primera compra válido en chile eats pablomue 
1633,curiosa modalidad de estafa en para robar cuentas 
1634, inmediatamente haz el reclamo suele pasar mucho estás cosas la seguridad informática en el país es muy mala
1635,se me generó un débito por un consumo en que yo no hice no uso uber solo yo tengo mi tarjeta no entiendo 
1636, mi también me cancelan cuando les respondo que es con tarjeta se ponen dar vueltas ver si les cancelo yo 
1637,hasta cuándo los conductores van seguir cancelando carreras este señor christian marcelo aceptó mi carrera estando cerca de mi punto se fue hasta urdesa desde allí me canceló la carrera cada vez que solicito es la misma historia 
1638, pésimo servicio marcan un tiempo luego va aumentando cuando está cerca el conductor cancela el viaje he perdido una cita importante por su culpa no vuelvo usar uber en ecuador
1639, tienes razón son unos ladrones te cobran veces la misma transacción
1640,pilas en de te hacen doble hasta triple debito ya tuve que cancelar la tarjeta porque quizas me la clonaron mejor usar 
1641, es la tercera vez que uber me hace débitos no consumidos nunca dan solución
1642, están aplicando el no me llame nosotros le llamamos 
1643,si alguien olvida un objeto en un cuál es el procedimiento si el conductor no se contacta es la única opción ya no se puede llamar directamente al conductor hay que esperar que te contacten 
